method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
proposed_countergan,no_disease_to_disease,256,0.72,1.31,0.010799925319979593,167.68,1
proposed_countergan,no_disease_to_disease,512,0.74,1.85,0.014571372260015779,236.8,1
proposed_countergan,no_disease_to_disease,1024,0.77,2.86,0.02111970253998152,366.08,1
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,128,0.87,1.0,0.019382241470038933,128.0,1
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,256,0.91,1.13,0.021240906529983478,144.64,1
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,512,0.93,1.31,0.023932042899978113,167.68,1
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,1024,0.93,1.59,0.028002005320004172,203.52,1
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,128,0.25,1.0,0.015398213080015922,128.0,1
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,256,0.36,1.75,0.026228342040012648,224.0,1
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,512,0.51,2.88,0.042310499239993075,368.64,1
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,1024,0.68,4.5,0.06521026085000813,576.0,1
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,128,0.87,1.0,0.023160307479965923,128.0,1
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,256,0.89,1.14,0.02525723543998538,145.92,1
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,512,0.91,1.32,0.027694953019945387,168.96,1
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,1024,0.94,1.6,0.031976926929964976,204.8,1
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,128,0.43,1.0,0.016875259980024565,128.0,1
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,256,0.59,1.55,0.024880096720007714,198.4,1
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,512,0.65,2.3,0.03597750932002782,294.4,1
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,1024,0.7,3.65,0.0549606221999602,467.2,1
