direction,method,method_family,candidate_cohort_seed,plaintext_logit,he_logit,abs_logit_error,label_agreement
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,1.1379102714320588,1.1379153083439288,5.036911870037741e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,4.200475242823536,4.200481220817725,5.977994188555158e-06,True
no_disease_to_disease,countergan_one_shot,Non-DP CounterGAN,101,8.661567127881185,8.661574491390503,7.3635093187363054e-06,True
disease_to_no_disease,uniform_random,Baseline,101,-7.197647594786426,-7.197644050530479,3.5442559473963797e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-16.603863031051766,-16.603861764444588,1.2666071782518884e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-16.204928947319416,-16.204927030399997,1.9169194196422268e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-0.9741316919708911,-0.9741267188073673,4.973163523769308e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-13.658139159042557,-13.658137321436515,1.8376060424429852e-06,True
disease_to_no_disease,countergan_one_shot,Non-DP CounterGAN,101,-6.8819949120031865,-6.881991249752072,3.6622511148109993e-06,True
no_disease_to_disease,genetic_cfe,Baseline,101,0.7860802536367295,0.7860858534224258,5.599785696253079e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,0.5052884794929273,0.505293433216166,4.953723238720897e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,0.6838358382506691,0.6838410263661974,5.188115528298454e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,2.489438002260542,2.48944343651256,5.43425201815495e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,2.4151938759309104,2.4151997595226042,5.883591693844892e-06,True
no_disease_to_disease,countergan_one_shot,Non-DP CounterGAN,101,5.636397804103963,5.636404372838,6.56873403759306e-06,True
disease_to_no_disease,uniform_random,Baseline,101,-9.828794368925836,-9.828791280485058,3.088440777787582e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-10.807560024650659,-10.807557441252033,2.58339862568846e-06,True
